time,conf
2007-11-02,0.23
2007-11-05,0.2861660079051384
2007-11-06,0.2323232323232323
2007-11-07,0.3131313131313131
2007-11-08,0.2777777777777778
2007-11-09,0.1379310344827586
2007-11-12,0.2592592592592592
2007-11-13,0.1529411764705882
2007-11-14,0.1604938271604938
2007-11-15,0.1904761904761904
2007-11-16,0.1298701298701298
2007-11-19,0.1111111111111111
2007-11-20,0.0945945945945946
2007-11-21,0.0519480519480519
2007-11-23,0.0547945205479452
2007-11-26,0.0
2007-11-27,-0.0151515151515151
2007-11-28,0.0140845070422535
2007-11-29,0.0259740259740259
2007-11-30,0.0
2007-12-03,0.0
2007-12-04,0.0135135135135135
2007-12-05,0.056338028169014
2007-12-06,0.0263157894736842
2007-12-07,0.0
2007-12-10,0.0
2007-12-11,0.0126582278481012
2007-12-12,0.0
2007-12-13,0.0117647058823529
2007-12-14,0.0119047619047619
2007-12-17,0.0
2007-12-18,0.0
2007-12-19,0.0
2007-12-20,0.0
2007-12-21,0.0
2007-12-24,0.0
2007-12-26,0.0
2007-12-27,0.0135135135135135
2007-12-28,0.0
2007-12-31,0.0
2008-01-02,0.0
2008-01-03,0.0
2008-01-04,0.0
2008-01-07,0.0
2008-01-08,0.0
2008-01-09,0.0
2008-01-10,0.0
2008-01-11,0.0
2008-01-14,0.0
2008-01-15,0.0
2008-01-16,-0.0128205128205128
2008-01-17,0.0
2008-01-18,0.0
2008-01-22,0.0
2008-01-23,0.0
2008-01-24,0.0
2008-01-25,0.0
2008-01-28,0.0
2008-01-29,0.0
2008-01-30,0.0
2008-01-31,0.0
2008-02-01,0.0
2008-02-04,0.0
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,0.0
2008-02-11,-0.0120481927710843
2008-02-12,-0.0246913580246913
2008-02-13,0.0
2008-02-14,-0.0119047619047619
2008-02-15,0.0
2008-02-19,-0.0229885057471264
2008-02-20,-0.0224719101123595
2008-02-21,-0.0235294117647058
2008-02-22,-0.0116279069767441
2008-02-25,-0.0217391304347826
2008-02-26,-0.0113636363636363
2008-02-27,-0.0114942528735632
2008-02-28,0.0
2008-02-29,-0.0117647058823529
2008-03-03,-0.021505376344086
2008-03-04,-0.0108695652173913
2008-03-05,0.0
2008-03-06,-0.0219780219780219
2008-03-07,0.0
2008-03-10,-0.021505376344086
2008-03-11,-0.0109890109890109
2008-03-12,0.0
2008-03-13,0.0
2008-03-14,-0.0114942528735632
2008-03-17,-0.0222222222222222
2008-03-18,0.0
2008-03-19,-0.0120481927710843
2008-03-20,0.0
2008-03-24,0.0
2008-03-25,0.0
2008-03-26,-0.0129870129870129
2008-03-27,0.0
2008-03-28,0.0
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,0.0
2008-04-03,0.0
2008-04-04,0.0
2008-04-07,0.0
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,0.0
2008-04-11,0.0
2008-04-14,0.0
2008-04-15,0.0
2008-04-16,0.0
2008-04-17,0.0
2008-04-18,0.0
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,0.0
2008-04-24,0.0
2008-04-25,0.0
2008-04-28,0.0
2008-04-29,0.0
2008-04-30,0.0
2008-05-01,0.0
2008-05-02,0.0149253731343283
2008-05-05,0.0
2008-05-06,0.0
2008-05-07,0.0
2008-05-08,0.0
2008-05-09,0.0
2008-05-12,0.0
2008-05-13,0.0
2008-05-14,0.0129870129870129
2008-05-15,0.0131578947368421
2008-05-16,0.0
2008-05-19,0.0
2008-05-20,0.0
2008-05-21,0.0
2008-05-22,0.0
2008-05-23,0.0
2008-05-27,0.0
2008-05-28,0.0
2008-05-29,0.0
2008-05-30,0.0
2008-06-02,0.0
2008-06-03,0.0
2008-06-04,0.0
2008-06-05,0.0
2008-06-06,0.0
2008-06-09,0.0
2008-06-10,0.0
2008-06-11,0.0
2008-06-12,0.0
2008-06-13,0.0
2008-06-16,0.0
2008-06-17,0.0
2008-06-18,0.0
2008-06-19,0.0
2008-06-20,0.0
2008-06-23,0.0
2008-06-24,0.0
2008-06-25,-0.0227272727272727
2008-06-26,-0.0120481927710843
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,-0.0123456790123456
2008-07-02,-0.0238095238095238
2008-07-03,-0.0120481927710843
2008-07-07,0.0
2008-07-08,-0.0123456790123456
2008-07-09,0.0
2008-07-10,-0.0133333333333333
2008-07-11,0.0
2008-07-14,-0.0289855072463768
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,-0.015625
2008-07-18,0.0
2008-07-21,0.0
2008-07-22,0.0
2008-07-23,0.0
2008-07-24,0.0
2008-07-25,0.0
2008-07-28,-0.0142857142857142
2008-07-29,0.0
2008-07-30,-0.015625
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,0.0
2008-08-06,-0.0153846153846153
2008-08-07,0.0
2008-08-08,0.0
2008-08-11,0.0
2008-08-12,0.0
2008-08-13,0.0
2008-08-14,0.0
2008-08-15,0.0
2008-08-18,-0.0166666666666666
2008-08-19,0.0
2008-08-20,0.0
2008-08-21,0.0
2008-08-22,0.0
2008-08-25,0.0
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,0.0
2008-08-29,0.0
2008-09-02,0.0136986301369863
2008-09-03,0.0128205128205128
2008-09-04,0.0
2008-09-05,0.0
2008-09-08,0.0147058823529411
2008-09-09,0.0
2008-09-10,0.0
2008-09-11,0.0
2008-09-12,0.0
2008-09-15,0.0
2008-09-16,0.0
2008-09-17,0.0
2008-09-18,0.0
2008-09-19,0.0
2008-09-22,0.0
2008-09-23,0.0
2008-09-24,0.0
2008-09-25,0.0
2008-09-26,0.0
2008-09-29,0.0
2008-09-30,0.0
2008-10-01,0.0
2008-10-02,0.0
2008-10-03,-0.0169491525423728
2008-10-06,0.0
2008-10-07,0.0
2008-10-08,-0.0476190476190476
2008-10-09,-0.03125
2008-10-10,-0.0416666666666666
2008-10-13,0.0
2008-10-14,0.0
2008-10-15,-0.0128205128205128
2008-10-16,-0.0128205128205128
2008-10-17,-0.025
2008-10-20,0.0
2008-10-21,-0.0125
2008-10-22,0.0
2008-10-23,-0.0238095238095238
2008-10-24,-0.025
2008-10-27,-0.0227272727272727
2008-10-28,-0.0319148936170212
2008-10-29,-0.0348837209302325
2008-10-30,-0.0128205128205128
2008-10-31,-0.0133333333333333
2008-11-03,0.0
2008-11-04,-0.0135135135135135
2008-11-05,0.0
2008-11-06,0.0
2008-11-07,0.0
2008-11-10,-0.0138888888888888
2008-11-11,-0.0133333333333333
2008-11-12,-0.0121951219512195
2008-11-13,0.0
2008-11-14,-0.0246913580246913
2008-11-17,-0.0256410256410256
2008-11-18,-0.0326086956521739
2008-11-19,-0.0963855421686747
2008-11-20,-0.0989010989010989
2008-11-21,-0.0853658536585365
2008-11-24,-0.1
2008-11-25,-0.088235294117647
2008-11-26,-0.0285714285714285
2008-11-28,-0.0136986301369863
2008-12-01,-0.0129870129870129
